generated_utc	source_id	category_id	enabled	status	count	note
2026-07-19T05:48:35Z	Q471839	adult_core	1	ok	4679	pornographic film
2026-07-19T05:48:36Z	Q128145358	adult_extra_strict	1	ok	62	gay pornographic film
2026-07-19T05:48:36Z	Q125719481	adult_extra_strict	1	ok	35	lesbian pornographic film
2026-07-19T05:48:36Z	Q114051112	adult_extra_strict	1	ok	1	POV pornographic film
2026-07-19T05:48:36Z	manual_titles	adult_movies_high_risk	1	ok	110	data/manual/titles.tsv
2026-07-19T05:48:36Z	manual_keywords	adult_movies_high_risk	1	ok	101	data/manual/keywords.tsv
2026-07-19T05:48:36Z	manual_keywords	adult_streaming_ads	1	ok	6	data/manual/keywords.tsv
